SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,mbID,Energy,ArtistFamiliarity,Hotness,end_of_fade_in,key,keyConfidence,Loudness,mode,mode_confidence,start_of_fade_out
1,SOVLGJY12A8C13FBED,223563,Call of the Mastodon,ARMQHX71187B9890D3,,Atlanta GA,,Mastodon,0,280.21506,5,0.555,173.205,5,0.12,Deep Sea Creature,,,,,,,,,,,,
2,SOGXWRE12AC468BE24,781922,Out Of Time,ARTXS851187FB411C7,,Essex England,,Chris Farlowe,0,177.57995,7,0.345,146.913,1,0,Paint It Black,,,,,,,,,,,,
3,SOIJPPR12A6D4F3945,85554,Wolfgang Amadeus Mozart: Requiem Mass_ K 626_ 1791,ARYISOC1187B9998F1,36.03256,Nashville Franklin Brentwood,-86.78916,Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,0,541.23057,9,0,109.051,4,0.271,Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart),,,,,,,,,,,,
4,SOIMSZI12AB0182252,440144,Voices Of Americana: Delbert McClinton,ARJFOC01187FB413A5,33.59233,Lubbock TX,-101.85587,Delbert McClinton,0,114.31138,4,0.47,221.858,4,0,Lose Your Money,,,,,,,,,,,,
5,SOZECOE12AB017E615,619838,The Very Best Of,ARQ8FR81187FB58D27,,,,Gloria De Haven,0,110.88934,0,0.293,100.296,4,1,Diamonds Are A Girl's Best Friend,,,,,,,,,,,,
6,SOMSKPE12A6D4FA09D,279570,Now It's Spring,ARBXIDR1187B9AB77E,,,,Avril,0,651.59791,4,0.354,86.589,4,0.961,The Matter With You (Part I_ Ii_ Iii),,,,,,,,,,,,
7,SOMUYIL12AB0184EE2,555518,A Day In The Life,AR1QXAQ1187FB47FAC,,Brookyln NY,,Sticky Fingaz & Omar Epps,0,142.86322,1,0.607,87.897,4,1,Don't Owe Me Nothin',,,,,,,,,,,,
8,SOXNSGB12A8C1396F1,157333,Elva First,ARCRR5X1187FB3BD4A,,,,Elva Hsiao,0,241.52771,11,0.605,121.968,4,0.943,Gotta Let It Go,,,,,,,,,,,,
9,SOVNVPF12A8C13AD4A,254710,White African,ARSRFOY1187B9917DA,41.88415,Chicago IL,-87.63241,Otis Taylor,0,107.83302,4,0.805,217.289,1,0,Round and Round,,,,,,,,,,,,
10,SOYYANE12A8C132D08,281536,Dion Chante Plamondon - Celine Dion Sings The Songs Of Luc Plamondon,ARFWL8S1187B9B4B44,,Charlemagne Quebec Canada,,Céline Dion,0,179.01669,3,0.601,80.999,7,0.854,Un Garcon Pas Comme Les Autres (Ziggy),,,,,,,,,,,,
