SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,mbID,Energy,ArtistFamiliarity,Hotness,end_of_fade_in,key,keyConfidence,Loudness,mode,mode_confidence,start_of_fade_out
2001,SOUFQJU12A58A80EAC,496370,Tres Cosas,AR7DFJP1187B992F13,,,,Juana Molina,0,213.26322,2,0.415,46.867,1,0,j Uh!,2004,eca5dd0e-edc7-4658-85f0-762e263b4acd,0,0.703664889917,0.448223589227,0.955,2,0.415,-19.775,1,0.606,202.681
2002,SOJFLBP12A81C22DB2,230458,Halfway to Gone,ARZ3JUB1187B99A5AC,,,,Halfway to Gone,0,255.42485,6,0.011,122.624,4,1,Turnpike,2004,bedf43c7-5db9-4ea6-88e7-5cb1ebe99cc7,0,0.507108739679,0.353532627765,0.618,6,0.011,-5.544,0,0.327,241.969
2003,SOGYZOF12A67020D72,6988,David Meece/Chronology,ARU2JAB1187FB50C72,,,,David Meece,0,268.01587,9,0.428,119.437,4,0.978,Seventy Times Seven (LP Version),0,ea7e2bb8-bfb5-4307-a4c5-68df453de287,0,0.470414613683,0.310298996385,0,9,0.428,-13.474,0,0.452,252.453
2004,SOFLHAS12A8C13851C,328398,Men And Women,AR198711187B9AD09F,,İngiltere,,Simply Red,0,258.08934,0,0.012,83.73,4,0.766,Maybe Someday...,1987,a9100753-f539-43cf-bcc9-579566fb512e,0,0.731590592457,0.498563611268,0.218,0,0.012,-9.38,0,0.44,252.604
2005,SOCMXKQ12A8AE47D58,185630,Joyful,ARN03F71187FB4E3F4,,United States,,Ayo,0,534.62159,0,0.443,122.91,4,1,Life Is Real,2006,633c13a3-335a-466f-8e01-535837faeff5,0,0.52259018455,0.390641235878,8.649,0,0.443,-9.158,1,0.435,531.963
2006,SOVEIBB12A8C13E5C3,218123,Snow [Hey Oh] [Live],ARE8GLF1187FB52532,,,,Red Hot Chili Peppers,0,319.55546,8,0.442,106.575,4,0.231,Snow [Hey Oh] [Live Version],0,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0,0.833967972053,0.576903815588,3.309,8,0.442,-4.144,0,0.451,304.791
2007,SONMIAH12A6D4F73C1,38027,Diet Pills & Magazines,AR3OYPP1187B9952E3,53.34376,Dublin Ireland,-6.24953,Humanzi,0,110.78485,7,0.765,186.141,4,0.665,Anxiety,0,838b705b-2389-4de4-83a9-f5e970b2a7ef,0,0.563922088486,0.292319515413,2.519,7,0.765,-3.853,0,0.504,105.622
2008,SOKFNSF12A8C13C425,165397,Lian Ai Tian Cai,ARNNC731187FB55D14,,,,Kary Ng,0,188.36853,6,0.57,90.139,5,0.976,Lian Ai Tian Chi,0,5fc5872b-9e4f-4bc5-9bcb-fc6152f4dfda,0,0.372221926549,0.352563985297,0.446,6,0.57,-3.616,0,0.685,185.353
2009,SOHWKRB12AB017EB39,547284,This Town,ARB9WJ11187B98BF17,42.08317,Brockton MA,-71.01724,Steve Smith,0,270.99383,7,1,159.621,4,0.485,Better Off That Way,0,e7b84164-e855-40dc-8ee6-27cf6b6cacc4,0,0.579137535475,0.407924700827,2.943,7,1,-7.992,1,0.914,261.66
2010,SOXODWS12AC4689066,743937,Malina.Org.azm.ru,ARXK4ZA1187B99753A,43.8814,Viareggio Italy,10.23522,Malina,0,239.72526,11,0.691,153.998,4,0.519,Shagi po bitomu steklu,0,0e3c2b03-9821-4a8c-bb70-1f23b42f42e0,0,0.470753931573,0.343617265985,0.252,11,0.691,-5.497,0,0.626,232.258
2011,SOENTVS12A8C136556,203410,Dance Hall Showcase Vol. II,ARIRD6J1187FB5A98C,18.01571,Kingston Jamaica,-76.79731,Sugar Minott,0,226.40281,11,0.314,154.585,4,1,Informer,2008,01d336ae-7f79-496d-94f9-211b57517b17,0,0.606975737219,0.386289651246,0.119,11,0.314,-5.627,1,0.465,213.188
2012,SOPMAQD12A8C141E57,225158,In The Mood,ARI945I1187FB4CC22,,,,The King Sisters & Alvino Rey,0,163.97016,4,0.513,100.72,4,0.358,The Army Air Corps,0,f5014b80-cded-427a-bac8-0ad161949df2,0,0.416147176425,0.28744675323,0.485,4,0.513,-10.814,0,0.397,159.306
2013,SOTLUIS12AC468BB74,780902,The Unforgiven Vol. 2.5,AR32JLC1187B9946AF,,,,X-Raided,0,247.37914,7,0.179,84.973,4,0.982,Assisted Suicide 2.5,0,6c7aac91-d780-4c24-9700-590c69f1c8f9,0,0.624573379079,0.438701670045,0,7,0.179,-10.069,1,0.533,237.9
2014,SOEGATN12A6D4F73B9,23967,The Wild One - The Greatest Hits,AR6UVLC1187B9B4D4C,42.33168,Detroit MI,-83.04792,Suzi Quatro,0,217.46893,4,0.924,168.165,1,0,Mama's Boy,1979,2c16cb3f-e85f-4158-889f-ffc038f5792d,0,0.627361447085,0.406642648699,0.345,4,0.924,-11.314,1,0.752,208.8
2015,SODFRDR12A8C13CAE4,162230,Spirit in My Life,ARI3W3K1187FB49E6F,,,,Cedric Gervais Featuring Caroline,0,396.5122,6,0.441,84.676,5,0.966,Spirit in My Life (Earnshaw's Instrumental),0,c9073012-4547-4a72-8963-738d9f8503cc,0,0.631630608053,0.373621212395,0.154,6,0.441,-10.047,1,0.49,392.382
2016,SOBCOUT12A58A7A52A,448201,Groove It,ARTTIRC12086C121DC,,,,Gene Latter,0,167.00036,4,0.096,86.949,4,0.312,Groove It,0,9b0778d6-6137-40b7-9a2b-2a45dcd07e0f,0,0.0615124944127,0.203607934358,0.069,4,0.096,-13.135,1,0.325,156.717
2017,SOCONYN12A8AE48117,280787,Original Album Classics,AR2BBHS1187FB4AE06,,,,Jeff Beck Group,0,340.34893,2,0.815,98.087,5,0.545,Ice Cream Cakes,1972,43988f1b-d49c-4959-a80f-83ded3a321d6,0,0.528736353332,0.321366996762,2.305,2,0.815,-13.637,1,0.57,330.002
2018,SOQOPEK12A8C140F49,610224,Mista,ARX99U51187B991481,,,,Mista,0,259.3171,1,0,169.722,4,0.297,If My Baby (LP Version),0,e147a81c-ce9a-4fa7-b724-bab5772cabf1,0,0.56674796808,0.312220843253,0.183,1,0,-5.2,1,0,255.002
