SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,mbID,Energy,ArtistFamiliarity,Hotness,end_of_fade_in,key,keyConfidence,Loudness,mode,mode_confidence,start_of_fade_out
4001,SOVKZIU12AB0180A2D,644939,Queens Of Country,ARDY3451187B9A0226,38.68193,Dry Ridge KY,-84.59431,Skeeter Davis,0,125.77914,11,0.132,120.689,3,1,Am I That Easy To Forget,1995,fd8f6b23-480c-4605-8152-51a5e8a39dfb,0,0.60383916969,0.395791273774,0.461,11,0.132,-12.945,1,0.559,116.895
4002,SOJXNPU12A8C13170B,283541,Glut Und Asche (Remaster),ARHJMEF1187FB415AE,,D�orf Germany,,Fehlfarben,0,291.13424,2,0.635,122.754,4,1,Magnificent Obsession,1983,3f6fb6f6-f129-4fe2-8e17-aceb8a85ebc2,0,0.694566511688,0.431648555547,0.389,2,0.635,-8.978,1,0.813,270.565
4003,SOBHMQL12A67ADE30A,66828,Cool As,AR9AM2N1187B9AD2F1,53.4796,Manchester England,-2.24881,Inspiral Carpets,0,283.32363,2,0.834,113.608,4,1,Commercial Reign,1990,03c2e506-e8bb-4bd6-9693-5aa97c8eea1c,0,0.605109701915,0.398547535381,0.234,2,0.834,-4.422,1,0.694,272.01
4004,SOOQCSS12AB0182A99,422711,Andres CD6,AR1N3PB1187B9B25C1,,,,Andres Calamaro,0,271.59465,4,0.681,76.908,7,0.485,Un vestido y un amor (en vivo),0,5a092e7c-faa9-45d0-88c6-052205804e6c,0,0.649677890784,0.527368162815,0,4,0.681,-10.747,1,0.637,267.401
4005,SOAEAQO12AB0184ACE,667161,Eclipse of Ages Into Black,AREY3RN1187B993C5F,29.95369,New Orleans LA,-90.07771,Goatwhore,0,205.63546,1,0.589,113.557,4,0.712,Gravedom,2000,eb7c29b4-6951-4ac6-8516-4374fb51e6bc,0,0.773271847746,0.429689629234,0.206,1,0.589,-8.644,1,0.584,205.635
4006,SONJBUC12A6D4F92A2,176238,Da Bomb Vol 5,ARJ4B7V1187FB4CB90,,,,DJ Godfather,0,53.21098,1,0,97.075,7,0.49,Intro,1998,45fc5c0a-3614-4018-95e9-9101ac827e2b,0,0.491256209492,0.32620825462,0.427,1,0,-14.853,1,0,53.211
4007,SOUOWOU12AC3DF4CB6,777245,Live at the longbranch and more,ARLJWTL1187B98C0DE,42.31256,Boston MA,-71.08868,Modern Lovers,0,260.62322,7,0.026,142.857,4,0.419,She cracked,1976,535f06f0-7ea2-41a4-a967-743b25558805,0,0.620541381705,0.396111527101,0,7,0.026,-12.502,1,0.239,241.29
4008,SODIWEO12AB018479E,635227,High Life,ARIF3EV1187B9B8522,43.00029,Wyoming,-107.55405,Paul Taylor,0,453.58975,11,0,144.005,4,0,Apogee (ft. TechTonic),0,f3c61305-2b53-4d29-991b-1af1556e191a,0,0.664690938937,0.429261029065,0.147,11,0,-7.49,0,0.038,432.744
4009,SOFZBXX12AB0181731,511811,12 Vivos,ART6QCS1187FB40CBD,,,,Los Auténticos Decadentes,0,205.37424,0,0.372,133.821,4,0.334,Que Vas A Hacer Conmigo,2004,2d6d27d3-b18b-4436-b174-b155ca917ab6,0,0.610330728064,0.407821564861,0,0,0.372,-5.634,1,0.349,205.374
4010,SOFLBQJ12A8C1334BF,146240,1954-56 Combinations,AR4R84C1187FB3EC16,40.71455,New York NY,-74.00712,Shelly Manne,0,255.39873,7,0.748,121.871,3,0.677,Get Me To The Church On Time,1996,94e4af5f-73a3-43da-96bc-49b759bfabdc,0,0.474329019699,0.347134882688,1.576,7,0.748,-18.623,1,0.62,247.293
